epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1216.85,0.70817,0.69008,1.09329,0.7606,0.73607,0.7727,0.57438,0.8411,0.79338,1.27774,0.0099968,0.00333227,0.0099968,0.00333227,0.0099968,0.00333227,0.0099968,0.00333227
2,2235.87,0.73339,0.69911,1.09388,0.7603,0.73851,0.77575,0.56711,0.8443,0.84082,1.2822,0.0198648,0.00662161,0.0198648,0.00662161,0.0198648,0.00662161,0.0198648,0.00662161
3,1374.28,0.90444,0.90747,1.20076,0.69916,0.68729,0.71249,0.49561,0.97176,0.96276,1.38424,0.0296008,0.00986695,0.0296008,0.00986695,0.0296008,0.00986695,0.0296008,0.00986695
4,1217.92,0.95981,0.98064,1.2376,0.72701,0.69819,0.72865,0.51084,0.93736,0.975,1.36298,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,2510.74,0.96295,0.97593,1.23725,0.72586,0.72073,0.74133,0.52435,0.92149,0.96061,1.34145,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,3394.75,0.98721,1.00929,1.25967,0.72357,0.71218,0.74343,0.53463,0.89857,0.92303,1.32674,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,4220.45,0.9787,1.00505,1.25985,0.73552,0.72049,0.74694,0.54213,0.88141,0.92634,1.30489,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,5122.74,0.9651,0.98397,1.24741,0.75298,0.73487,0.76615,0.56442,0.83842,0.90534,1.27909,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,6322.1,0.95043,0.9714,1.24156,0.76281,0.7492,0.78811,0.57935,0.82539,0.84453,1.26251,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,7730.54,0.94934,0.96556,1.23948,0.76111,0.7518,0.78271,0.57834,0.8101,0.82718,1.255,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,9234.49,0.92766,0.94256,1.2289,0.77463,0.76063,0.80378,0.59688,0.7956,0.8113,1.2324,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,10451,0.91694,0.93042,1.21769,0.77975,0.76556,0.80486,0.6066,0.76703,0.79362,1.21311,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,11515.1,0.91003,0.91685,1.21358,0.78046,0.77342,0.81202,0.6111,0.76516,0.77612,1.20798,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,12321.2,0.90622,0.90409,1.21008,0.78577,0.77904,0.81573,0.61779,0.74274,0.76299,1.19247,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,13127.2,0.89603,0.90363,1.20423,0.7945,0.78117,0.82597,0.63242,0.72927,0.7509,1.17509,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,13927.9,0.88919,0.89172,1.19868,0.80211,0.78543,0.82834,0.63891,0.71835,0.72313,1.167,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,14728.7,0.88514,0.88441,1.19577,0.80175,0.79464,0.83195,0.64531,0.70425,0.72124,1.15859,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,15531.7,0.87874,0.87907,1.19552,0.80803,0.79299,0.83981,0.65226,0.69712,0.70999,1.1454,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,16336.8,0.87561,0.87631,1.19134,0.80521,0.79228,0.83455,0.64977,0.68948,0.70006,1.14434,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,17214.8,0.87059,0.86857,1.18731,0.80745,0.80071,0.84231,0.66061,0.67463,0.68245,1.13036,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,18636.9,0.8541,0.84835,1.17649,0.8116,0.79615,0.8416,0.65945,0.67457,0.67751,1.12981,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,20040.3,0.85765,0.8549,1.18209,0.8184,0.80512,0.84827,0.67062,0.66132,0.66524,1.11739,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,21576.5,0.85617,0.85139,1.18037,0.82323,0.80381,0.8508,0.67303,0.65535,0.65927,1.11131,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,1144.15,0.82886,0.82354,1.16636,0.82986,0.80911,0.85566,0.68241,0.64439,0.64665,1.10414,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,2530.44,0.83895,0.8322,1.16808,0.82892,0.81225,0.85758,0.68426,0.64016,0.64273,1.0976,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,4543.92,0.83692,0.82946,1.16764,0.82804,0.81273,0.85982,0.68508,0.63686,0.63676,1.09511,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,7112.66,0.83591,0.82743,1.16815,0.8268,0.81414,0.85845,0.6858,0.63192,0.63585,1.09056,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,8145.7,0.8333,0.82655,1.16461,0.82651,0.81701,0.85996,0.689,0.62507,0.63662,1.08572,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,9186.06,0.82835,0.82276,1.16123,0.82828,0.81782,0.85991,0.69125,0.62173,0.63316,1.08243,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,10225.2,0.83644,0.82853,1.1643,0.82703,0.81922,0.86136,0.69389,0.6178,0.62886,1.07862,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,11579.4,0.81923,0.81206,1.15643,0.82903,0.82284,0.86316,0.69654,0.61293,0.62526,1.07502,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,12807.2,0.81495,0.81121,1.15279,0.83447,0.81931,0.86471,0.69836,0.60969,0.62182,1.0729,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,15103,0.8123,0.8027,1.15243,0.8364,0.82192,0.86634,0.6994,0.60661,0.61873,1.06985,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,16173.4,0.81595,0.79822,1.15346,0.83377,0.82386,0.86714,0.70126,0.60361,0.61766,1.06743,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,17453.3,0.80993,0.8022,1.1517,0.83589,0.82396,0.86761,0.70244,0.60025,0.6153,1.06454,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,19102.6,0.80607,0.7924,1.14617,0.8378,0.82474,0.86951,0.70454,0.59728,0.61201,1.06219,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,20512.9,0.80633,0.78901,1.14461,0.83991,0.82596,0.87077,0.70576,0.59485,0.60917,1.06015,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,21710,0.80103,0.78943,1.14503,0.8409,0.82665,0.87153,0.70787,0.59225,0.60667,1.05823,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,999.934,0.76846,0.75489,1.12697,0.83892,0.82854,0.87224,0.70916,0.59037,0.60522,1.0564,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,1828.86,0.78392,0.77135,1.13256,0.84014,0.82856,0.87283,0.71002,0.58846,0.60294,1.05444,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,2652.42,0.78475,0.77087,1.13443,0.83991,0.82872,0.87328,0.71121,0.58679,0.60095,1.05288,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,3482.56,0.78796,0.77116,1.1368,0.84082,0.82956,0.87403,0.71239,0.58544,0.59945,1.05186,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,4319.77,0.78413,0.77119,1.13282,0.84193,0.82979,0.87439,0.713,0.58411,0.59792,1.05056,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,5211.88,0.78283,0.77085,1.13277,0.84435,0.82786,0.87455,0.71342,0.58289,0.59612,1.04939,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,6223.2,0.79189,0.77784,1.13414,0.84347,0.82865,0.87458,0.71412,0.58171,0.59487,1.04812,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,7245.98,0.77951,0.7686,1.13059,0.84534,0.82893,0.87503,0.71483,0.58069,0.59392,1.04732,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,8268.95,0.77874,0.76961,1.12868,0.84642,0.82895,0.87543,0.71542,0.57979,0.59307,1.04636,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,1003.07,0.73326,0.71923,1.10611,0.84574,0.82907,0.87573,0.71586,0.57904,0.59209,1.0456,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,1851.4,0.75893,0.74462,1.11619,0.84506,0.83014,0.87591,0.71632,0.57829,0.59106,1.04497,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,2666.27,0.76431,0.74917,1.12081,0.84478,0.83164,0.87624,0.71666,0.57764,0.59015,1.04436,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,3475.25,0.77136,0.75135,1.12595,0.84512,0.83126,0.87619,0.71682,0.57703,0.5889,1.04371,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,4287.16,0.76833,0.75389,1.12202,0.84641,0.82997,0.87611,0.71722,0.5765,0.58806,1.04316,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,5100.04,0.76813,0.75403,1.12307,0.84655,0.83067,0.87643,0.71768,0.57583,0.58682,1.04246,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,5961.96,0.77979,0.76383,1.12832,0.84576,0.8321,0.87705,0.71863,0.57516,0.58586,1.04176,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,7007.36,0.76803,0.75559,1.12351,0.84662,0.83233,0.8777,0.71916,0.57444,0.58497,1.04117,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,8051.8,0.76726,0.75596,1.1223,0.84705,0.83297,0.87799,0.71954,0.57371,0.58391,1.04062,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,9082.13,0.76799,0.7529,1.12511,0.84605,0.83474,0.87818,0.7198,0.57303,0.58285,1.04003,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,10496.4,0.77184,0.74939,1.12456,0.84428,0.83612,0.87819,0.72024,0.57213,0.58166,1.03936,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,32099.4,0.76825,0.75627,1.12551,0.84435,0.83532,0.87859,0.72102,0.57108,0.58044,1.03834,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,32897.9,0.76481,0.75088,1.12114,0.84608,0.8352,0.87888,0.72156,0.57009,0.57957,1.03775,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,33699.8,0.76987,0.74687,1.12205,0.84807,0.83388,0.87917,0.72234,0.56886,0.57883,1.03667,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,34498.6,0.76559,0.75085,1.12463,0.84697,0.83568,0.87944,0.72299,0.56769,0.57755,1.0358,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,35298.2,0.76885,0.75112,1.12488,0.84915,0.835,0.87984,0.7237,0.56656,0.57663,1.03474,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,36102.9,0.76577,0.74778,1.12178,0.84923,0.83603,0.88011,0.72435,0.56559,0.57549,1.03407,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,36900.5,0.75185,0.73374,1.11276,0.84839,0.83627,0.88056,0.72487,0.56434,0.57432,1.03313,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,37698.2,0.75416,0.74142,1.11797,0.8474,0.83756,0.88116,0.72589,0.56285,0.57295,1.0318,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,1109.77,0.70059,0.68429,1.08675,0.84822,0.83714,0.88157,0.7262,0.56228,0.57194,1.03124,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,2143.24,0.72515,0.70789,1.09684,0.84945,0.83671,0.88183,0.72686,0.56176,0.57063,1.03073,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,3157.62,0.73035,0.71215,1.10187,0.84887,0.83823,0.88241,0.7274,0.56096,0.56938,1.03001,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,4571.44,0.73726,0.71637,1.10656,0.85124,0.83659,0.88263,0.72752,0.56033,0.56823,1.02939,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,5884.66,0.7366,0.72002,1.10414,0.85013,0.83823,0.88316,0.72801,0.55978,0.5674,1.02892,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,6694.84,0.73676,0.72059,1.1059,0.85003,0.8384,0.8834,0.72858,0.55925,0.56641,1.02841,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,7500.78,0.74867,0.73127,1.1103,0.85153,0.83748,0.88355,0.72918,0.55843,0.56553,1.02766,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,8304.53,0.73756,0.72283,1.10592,0.85188,0.83748,0.88384,0.72988,0.5576,0.56462,1.02697,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,9216.9,0.73932,0.72484,1.10554,0.8509,0.83942,0.88415,0.73065,0.55684,0.56369,1.02619,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,10236.8,0.73645,0.71964,1.10514,0.8529,0.8381,0.88444,0.73126,0.556,0.56275,1.02532,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,11263.3,0.74121,0.71755,1.10534,0.85276,0.83853,0.88448,0.73189,0.55505,0.56171,1.02441,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,12327.3,0.73995,0.72424,1.10671,0.85328,0.83894,0.8851,0.73269,0.5539,0.56058,1.02325,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,13768.1,0.73782,0.71956,1.10398,0.85426,0.83869,0.88543,0.73346,0.55289,0.55972,1.02233,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,14968.1,0.74174,0.71479,1.10487,0.85463,0.83913,0.8857,0.73431,0.55189,0.5589,1.02134,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,15769.9,0.73798,0.72118,1.10775,0.85529,0.83863,0.88591,0.73507,0.55069,0.55812,1.02034,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,16574.1,0.74101,0.72232,1.10755,0.85585,0.83875,0.88615,0.73537,0.5497,0.55695,1.01947,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,17377.9,0.73683,0.71895,1.10435,0.85535,0.83924,0.88648,0.73613,0.54872,0.55597,1.01854,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,18181.3,0.72629,0.70543,1.09887,0.85592,0.83971,0.8869,0.73666,0.54759,0.55495,1.01759,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,18984,0.72903,0.71152,1.10146,0.85712,0.84036,0.88738,0.73764,0.54614,0.55381,1.01623,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,19786.3,0.73243,0.71433,1.10316,0.85851,0.83999,0.88787,0.73859,0.5448,0.55267,1.01513,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,20602.5,0.73064,0.71225,1.10062,0.8596,0.83982,0.88822,0.73962,0.54347,0.55132,1.01404,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,21439,0.73142,0.71377,1.1024,0.85895,0.84046,0.8885,0.74032,0.54209,0.55018,1.01288,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,22242.9,0.72822,0.70798,1.09908,0.85947,0.84135,0.88904,0.74118,0.54066,0.54897,1.0116,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,23046.6,0.72345,0.70867,1.10195,0.8596,0.84186,0.88943,0.74237,0.53925,0.54765,1.01046,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,23852.9,0.71954,0.69885,1.0963,0.85969,0.84154,0.88986,0.74334,0.53792,0.54645,1.00924,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,24654.7,0.72326,0.70535,1.09395,0.85975,0.84244,0.89023,0.7441,0.53655,0.54539,1.00803,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,25456.7,0.72248,0.70164,1.09597,0.85978,0.84322,0.89053,0.74494,0.53514,0.54452,1.00681,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,26257.2,0.71788,0.69641,1.09232,0.85779,0.84615,0.89106,0.74576,0.53383,0.54327,1.00572,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,27058.6,0.71519,0.69402,1.09183,0.85923,0.8466,0.89166,0.74662,0.53229,0.54216,1.00449,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,27862.1,0.70497,0.68884,1.08463,0.85835,0.84767,0.89194,0.74772,0.53074,0.54089,1.00311,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,28663.2,0.71061,0.68774,1.08753,0.85794,0.84857,0.89237,0.74853,0.52938,0.53975,1.00186,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,29465.5,0.71035,0.69172,1.08882,0.85819,0.84894,0.89275,0.74932,0.52796,0.53863,1.00054,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,30270.5,0.70438,0.69029,1.08394,0.85825,0.85028,0.89341,0.75042,0.52658,0.53743,0.99933,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,31074.4,0.70347,0.68214,1.08266,0.85989,0.84962,0.89381,0.75138,0.52517,0.53615,0.99805,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,1088.98,0.65693,0.64149,1.06256,0.85933,0.85093,0.894,0.75185,0.52466,0.53545,0.99755,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,2126.38,0.67316,0.65236,1.06714,0.85859,0.85156,0.89411,0.75235,0.52393,0.5343,0.99681,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,3279.85,0.67405,0.65412,1.06934,0.85969,0.85122,0.89434,0.7527,0.52322,0.5333,0.99607,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,4929.8,0.67977,0.65737,1.07167,0.86013,0.85162,0.89438,0.75312,0.52236,0.53232,0.99526,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,19260.1,0.67891,0.66095,1.07056,0.86039,0.85245,0.8947,0.75345,0.52159,0.53156,0.99452,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,20158.4,0.67762,0.66001,1.07229,0.86046,0.85224,0.89483,0.75403,0.5207,0.53069,0.99368,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,1115.28,0.63938,0.62666,1.05163,0.86068,0.853,0.89509,0.75425,0.52026,0.5301,0.99316,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,2162.57,0.65839,0.63906,1.05832,0.85999,0.85384,0.89525,0.75457,0.51969,0.52931,0.99251,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,3188.88,0.66179,0.64286,1.06255,0.86164,0.85327,0.89553,0.75498,0.51904,0.52848,0.99184,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,4562.48,0.66841,0.6463,1.06531,0.86277,0.85299,0.89575,0.75529,0.51845,0.52767,0.99127,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,5529.36,0.66736,0.64995,1.06304,0.86348,0.85314,0.89625,0.75587,0.51779,0.5268,0.99058,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,6362.11,0.66842,0.6487,1.06486,0.86294,0.85315,0.89653,0.75627,0.51698,0.5259,0.98974,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,7185.95,0.67772,0.6589,1.06931,0.86268,0.85364,0.89677,0.75675,0.5161,0.52514,0.98892,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,8013.15,0.66715,0.65022,1.06483,0.86296,0.85417,0.8972,0.75753,0.51523,0.52416,0.98807,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
115,8841.83,0.66754,0.65049,1.06448,0.86289,0.85476,0.89748,0.75823,0.51433,0.5232,0.98724,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
116,9667.7,0.66571,0.64621,1.06401,0.86352,0.85461,0.89777,0.75872,0.51338,0.52222,0.98634,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
117,10492.1,0.66923,0.64354,1.06375,0.86349,0.85471,0.89797,0.75927,0.51238,0.52125,0.9854,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344,0.007032,0.002344
118,11318.3,0.66689,0.64832,1.06547,0.8638,0.85561,0.89839,0.76024,0.5114,0.52017,0.98453,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
119,12146.3,0.66507,0.64534,1.0626,0.86393,0.8557,0.89872,0.76087,0.51048,0.51919,0.98377,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212,0.006636,0.002212
120,12976.5,0.6697,0.64164,1.06385,0.86351,0.8567,0.89913,0.76142,0.50936,0.51824,0.98282,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146,0.006438,0.002146
121,13944.8,0.66561,0.6454,1.06708,0.86352,0.85717,0.89942,0.76196,0.50822,0.51725,0.98191,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
122,14973.5,0.66758,0.64623,1.06481,0.86421,0.85742,0.89988,0.76264,0.50715,0.51624,0.98103,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014,0.006042,0.002014
123,16015.8,0.66476,0.64186,1.06198,0.86546,0.85709,0.90013,0.76327,0.50597,0.51523,0.98002,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948,0.005844,0.001948
124,17179.2,0.65366,0.63234,1.05717,0.86688,0.85633,0.90037,0.76396,0.50482,0.51437,0.97904,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
125,18730,0.65611,0.638,1.06036,0.86775,0.85597,0.90073,0.76473,0.50362,0.51333,0.97802,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816,0.005448,0.001816
